customer_id,tenure_months,contract_type,monthly_charges,support_tickets,payment_method,churn
CUST-100045,44,Month-to-Month,71.02,4,Bank Transfer,No
CUST-100046,8,Month-to-Month,52.78,3,Bank Transfer,Yes
CUST-100047,47,Two Year,48.35,1,Credit Card,No
CUST-100048,35,Two Year,55.16,0,Credit Card,No
CUST-100049,36,Month-to-Month,108.55,1,Bank Transfer,Yes
CUST-100050,50,One Year,57.01,4,Credit Card,No
CUST-100051,4,One Year,83.14,0,Direct Debit,Yes
CUST-100052,2,Two Year,57.48,0,Direct Debit,No
CUST-100053,6,Month-to-Month,70.22,1,Direct Debit,No
CUST-100054,54,Month-to-Month,80.83,0,Bank Transfer,No
CUST-100055,4,Two Year,53.56,2,Credit Card,No
CUST-100056,54,Month-to-Month,52.18,4,Direct Debit,Yes
CUST-100057,63,Month-to-Month,98.18,4,Direct Debit,No
CUST-100058,18,Month-to-Month,84.69,1,Direct Debit,Yes
CUST-100059,44,Month-to-Month,80.81,4,Credit Card,Yes
CUST-100060,34,Month-to-Month,80.75,0,Credit Card,Yes
CUST-100061,62,Two Year,74.19,2,Direct Debit,No
CUST-100062,14,Month-to-Month,105.36,2,Direct Debit,Yes
CUST-100063,48,Month-to-Month,65.88,3,Credit Card,No
CUST-100064,15,One Year,76.55,1,Bank Transfer,No
CUST-100065,72,Month-to-Month,35.98,2,Bank Transfer,No
CUST-100066,62,Month-to-Month,48.5,4,Direct Debit,Yes
CUST-100067,40,One Year,40.98,1,Direct Debit,No
CUST-100068,53,Two Year,90.48,2,Direct Debit,No
CUST-100069,24,One Year,20.0,0,Credit Card,No
CUST-100070,26,One Year,56.95,3,Credit Card,No
CUST-100071,60,Month-to-Month,20.0,2,Direct Debit,No
CUST-100072,41,Two Year,48.37,1,Credit Card,No
CUST-100073,29,Month-to-Month,55.18,2,Direct Debit,Yes
CUST-100074,15,One Year,92.7,4,Bank Transfer,No
CUST-100075,45,Month-to-Month,72.93,1,Direct Debit,No
CUST-100076,65,Two Year,48.34,0,Direct Debit,No
CUST-100077,71,One Year,86.32,0,Credit Card,No
CUST-100078,9,One Year,65.36,1,Credit Card,No
CUST-100079,1,Month-to-Month,65.75,1,Credit Card,Yes
CUST-100080,8,Month-to-Month,40.95,1,Bank Transfer,Yes
CUST-100081,63,One Year,45.2,1,Direct Debit,No
CUST-100082,11,One Year,48.5,0,Direct Debit,No
CUST-100083,8,Month-to-Month,65.93,1,Bank Transfer,Yes
CUST-100084,35,Two Year,66.56,2,Credit Card,No
CUST-100085,35,Two Year,95.88,1,Direct Debit,No
CUST-100086,33,Month-to-Month,72.7,2,Credit Card,No
CUST-100087,5,Two Year,20.0,1,Credit Card,No
CUST-100088,41,Month-to-Month,70.25,3,Direct Debit,Yes
CUST-100089,28,Month-to-Month,36.0,1,Direct Debit,Yes
CUST-100090,7,Month-to-Month,45.68,0,Direct Debit,No
CUST-100091,72,One Year,48.76,2,Direct Debit,No
CUST-100092,12,One Year,51.73,2,Bank Transfer,No
CUST-100093,34,Month-to-Month,37.5,1,Direct Debit,No
CUST-100094,33,One Year,69.07,2,Direct Debit,No
CUST-100095,48,One Year,36.78,3,Credit Card,No
CUST-100096,23,One Year,72.13,2,Credit Card,No
CUST-100097,62,Month-to-Month,109.74,2,Credit Card,Yes
CUST-100098,37,Two Year,38.41,2,Direct Debit,No
CUST-100099,44,Month-to-Month,59.31,1,Bank Transfer,No
CUST-100100,35,Month-to-Month,20.0,0,Credit Card,No
CUST-100101,65,Month-to-Month,58.98,1,Direct Debit,No
CUST-100102,47,Month-to-Month,77.85,2,Bank Transfer,Yes
CUST-100103,3,Two Year,79.41,2,Direct Debit,No
CUST-100104,1,Month-to-Month,66.55,0,Bank Transfer,No
CUST-100105,5,One Year,82.79,2,Credit Card,No
CUST-100106,14,Month-to-Month,115.92,2,Bank Transfer,Yes
CUST-100107,27,Month-to-Month,99.25,3,Direct Debit,Yes
CUST-100108,9,Two Year,54.55,2,Bank Transfer,Yes
CUST-100109,15,One Year,35.98,2,Credit Card,No
CUST-100110,42,Month-to-Month,56.88,0,Credit Card,No
CUST-100111,51,Month-to-Month,46.06,2,Direct Debit,No
CUST-100112,63,Month-to-Month,74.03,2,Bank Transfer,Yes
CUST-100113,52,Month-to-Month,41.38,0,Direct Debit,No
CUST-100114,4,One Year,63.54,2,Direct Debit,Yes
CUST-100115,23,One Year,81.76,2,Credit Card,No
CUST-100116,15,Month-to-Month,62.99,0,Direct Debit,No
CUST-100117,43,Two Year,46.07,2,Direct Debit,No
CUST-100118,29,One Year,88.5,0,Credit Card,No
CUST-100119,36,Month-to-Month,27.42,1,Direct Debit,No
CUST-100120,13,Month-to-Month,58.44,1,Bank Transfer,No
CUST-100121,32,One Year,64.17,2,Credit Card,No
CUST-100122,71,One Year,65.32,3,Credit Card,No
CUST-100123,59,Month-to-Month,68.61,2,Direct Debit,No
CUST-100124,28,Month-to-Month,77.21,3,Credit Card,Yes
CUST-100125,66,Month-to-Month,64.29,0,Bank Transfer,No
CUST-100126,42,Two Year,57.64,2,Direct Debit,No
CUST-100127,45,Month-to-Month,56.85,1,Direct Debit,Yes
CUST-100128,62,Month-to-Month,52.77,0,Direct Debit,Yes
CUST-100129,57,One Year,80.75,2,Credit Card,No
CUST-100130,6,Two Year,52.07,2,Credit Card,No
CUST-100131,28,Two Year,81.94,3,Direct Debit,Yes
CUST-100132,28,Month-to-Month,65.38,1,Credit Card,No
CUST-100133,44,Month-to-Month,54.57,1,Bank Transfer,Yes
CUST-100134,30,Month-to-Month,77.37,1,Direct Debit,Yes
CUST-100135,62,Month-to-Month,50.45,2,Credit Card,No
CUST-100136,62,Two Year,77.76,1,Bank Transfer,No
CUST-100137,1,Month-to-Month,69.25,1,Bank Transfer,No
CUST-100138,27,Month-to-Month,53.07,0,Direct Debit,No
CUST-100139,62,Month-to-Month,75.57,1,Direct Debit,Yes
CUST-100140,3,Month-to-Month,75.93,2,Bank Transfer,No
CUST-100141,70,One Year,88.15,1,Direct Debit,No
CUST-100142,72,Month-to-Month,84.32,3,Credit Card,No
CUST-100143,27,Month-to-Month,74.83,1,Credit Card,No
CUST-100144,9,Month-to-Month,42.45,3,Credit Card,Yes
CUST-100145,62,Month-to-Month,113.97,2,Direct Debit,No
CUST-100146,37,Month-to-Month,36.93,0,Bank Transfer,Yes
CUST-100147,51,One Year,83.99,2,Direct Debit,No
CUST-100148,44,One Year,73.63,0,Credit Card,No
CUST-100149,24,One Year,41.52,2,Direct Debit,No
CUST-100150,59,Two Year,62.51,5,Direct Debit,No
CUST-100151,32,Two Year,63.42,1,Direct Debit,No
CUST-100152,52,Two Year,91.11,1,Bank Transfer,No
CUST-100153,62,Month-to-Month,50.73,1,Credit Card,No
CUST-100154,58,Month-to-Month,59.76,0,Credit Card,No
CUST-100155,52,Month-to-Month,20.0,0,Credit Card,No
CUST-100156,12,Two Year,99.7,3,Direct Debit,No
CUST-100157,39,Two Year,43.59,1,Credit Card,No
CUST-100158,2,Two Year,71.54,0,Direct Debit,No
CUST-100159,3,Month-to-Month,62.97,0,Credit Card,Yes
CUST-100160,56,Two Year,63.04,3,Direct Debit,No
CUST-100161,59,Month-to-Month,81.2,0,Bank Transfer,No
CUST-100162,2,Month-to-Month,98.43,2,Credit Card,Yes
CUST-100163,2,Month-to-Month,70.03,4,Direct Debit,Yes
CUST-100164,54,Month-to-Month,78.1,0,Direct Debit,No
CUST-100165,1,Month-to-Month,71.58,0,Direct Debit,Yes
CUST-100166,19,Month-to-Month,85.35,1,Bank Transfer,Yes
CUST-100167,2,Month-to-Month,55.74,4,Direct Debit,No
CUST-100168,53,One Year,86.51,2,Direct Debit,Yes
CUST-100169,44,Two Year,87.21,1,Direct Debit,No
CUST-100170,32,One Year,86.65,5,Bank Transfer,Yes
CUST-100171,70,Month-to-Month,51.8,0,Credit Card,Yes
CUST-100172,32,Two Year,61.63,1,Direct Debit,No
CUST-100173,68,Two Year,69.79,3,Credit Card,No
CUST-100174,55,Month-to-Month,37.58,0,Bank Transfer,Yes
CUST-100175,56,Month-to-Month,96.9,1,Credit Card,Yes
CUST-100176,17,Month-to-Month,64.75,2,Direct Debit,Yes
CUST-100177,38,Month-to-Month,70.68,3,Direct Debit,Yes
CUST-100178,24,One Year,53.46,1,Direct Debit,No
CUST-100179,69,Two Year,38.46,3,Direct Debit,No
CUST-100180,70,Month-to-Month,52.92,0,Credit Card,No
CUST-100181,11,Two Year,69.38,1,Credit Card,No
CUST-100182,16,Two Year,78.47,2,Bank Transfer,No
CUST-100183,59,Two Year,68.24,0,Credit Card,No
CUST-100184,70,Month-to-Month,71.93,2,Direct Debit,No
CUST-100185,3,Two Year,58.26,2,Credit Card,No
CUST-100186,20,Month-to-Month,74.92,0,Credit Card,No
CUST-100187,59,One Year,94.66,3,Direct Debit,No
CUST-100188,36,Month-to-Month,79.1,1,Credit Card,Yes
CUST-100189,19,Month-to-Month,81.19,2,Direct Debit,Yes
CUST-100190,67,One Year,70.88,2,Direct Debit,No
CUST-100191,19,Month-to-Month,34.94,1,Credit Card,No
CUST-100192,20,Month-to-Month,44.11,1,Direct Debit,Yes
CUST-100193,71,Month-to-Month,74.1,0,Credit Card,No
CUST-100194,52,One Year,64.78,0,Direct Debit,No
CUST-100195,33,Month-to-Month,73.8,2,Bank Transfer,Yes
CUST-100196,40,Two Year,98.53,1,Bank Transfer,No
CUST-100197,39,Month-to-Month,79.52,1,Bank Transfer,No
CUST-100198,1,Month-to-Month,90.18,0,Bank Transfer,Yes
CUST-100199,11,Month-to-Month,66.89,0,Bank Transfer,No
CUST-100200,57,Month-to-Month,48.86,2,Credit Card,Yes
CUST-100201,50,Month-to-Month,63.84,1,Bank Transfer,Yes
CUST-100202,23,Month-to-Month,48.9,0,Credit Card,No
CUST-100203,31,Two Year,96.17,3,Bank Transfer,Yes
CUST-100204,42,One Year,80.81,1,Direct Debit,No
CUST-100205,7,Month-to-Month,75.41,1,Credit Card,Yes
CUST-100206,16,Month-to-Month,89.72,0,Bank Transfer,Yes
CUST-100207,60,Two Year,24.6,2,Credit Card,No
CUST-100208,2,Month-to-Month,76.76,1,Direct Debit,No
CUST-100209,1,Month-to-Month,38.79,1,Credit Card,No
CUST-100210,48,One Year,64.85,1,Credit Card,No
CUST-100211,12,One Year,58.77,2,Credit Card,No
CUST-100212,69,One Year,78.23,3,Credit Card,No
CUST-100213,37,Month-to-Month,69.56,1,Direct Debit,No
CUST-100214,32,Month-to-Month,91.9,2,Bank Transfer,Yes
CUST-100215,9,One Year,52.96,0,Credit Card,No
CUST-100216,19,Month-to-Month,79.18,2,Direct Debit,Yes
CUST-100217,48,Month-to-Month,68.24,2,Bank Transfer,Yes
CUST-100218,3,Month-to-Month,32.29,0,Direct Debit,No
CUST-100219,20,Month-to-Month,46.63,2,Direct Debit,Yes
CUST-100220,24,Two Year,62.0,0,Bank Transfer,No
CUST-100221,54,Two Year,87.25,1,Bank Transfer,No
CUST-100222,33,One Year,74.27,2,Direct Debit,No
CUST-100223,24,Month-to-Month,41.65,3,Direct Debit,Yes
CUST-100224,72,Month-to-Month,62.19,1,Direct Debit,No
CUST-100225,36,Month-to-Month,105.36,0,Bank Transfer,No
CUST-100226,38,Month-to-Month,67.22,1,Bank Transfer,No
CUST-100227,25,Two Year,58.45,1,Direct Debit,No
CUST-100228,18,Month-to-Month,74.83,2,Direct Debit,Yes
CUST-100229,66,Month-to-Month,80.27,2,Direct Debit,No
CUST-100230,54,Month-to-Month,55.88,2,Bank Transfer,No
CUST-100231,35,One Year,75.05,2,Direct Debit,No
CUST-100232,61,Month-to-Month,58.42,3,Credit Card,Yes
CUST-100233,41,Month-to-Month,79.39,2,Credit Card,No
CUST-100234,33,Month-to-Month,68.39,1,Direct Debit,No
CUST-100235,68,Two Year,74.64,4,Direct Debit,No
CUST-100236,33,Month-to-Month,49.82,2,Direct Debit,Yes
CUST-100237,14,Two Year,48.57,1,Credit Card,No
CUST-100238,21,Two Year,83.91,2,Bank Transfer,No
CUST-100239,48,Month-to-Month,63.41,2,Credit Card,No
CUST-100240,20,One Year,70.7,2,Direct Debit,No
CUST-100241,8,Month-to-Month,58.87,2,Direct Debit,Yes
CUST-100242,7,Two Year,82.97,3,Direct Debit,Yes
CUST-100243,67,Month-to-Month,52.84,1,Direct Debit,Yes
CUST-100244,17,Month-to-Month,62.29,3,Credit Card,No
CUST-100245,33,Month-to-Month,80.72,3,Bank Transfer,No
CUST-100246,48,Month-to-Month,88.46,3,Bank Transfer,Yes
CUST-100247,59,Two Year,54.52,2,Credit Card,No
CUST-100248,22,Month-to-Month,104.19,2,Credit Card,Yes
CUST-100249,30,One Year,71.26,1,Bank Transfer,No
CUST-100250,38,Month-to-Month,44.14,1,Credit Card,No
CUST-100251,51,Two Year,72.38,3,Credit Card,No
CUST-100252,54,Month-to-Month,57.34,1,Direct Debit,No
CUST-100253,8,Month-to-Month,73.68,1,Direct Debit,No
CUST-100254,27,Month-to-Month,64.14,0,Direct Debit,Yes
CUST-100255,27,One Year,66.49,3,Bank Transfer,No
CUST-100256,21,Month-to-Month,46.77,4,Credit Card,No
CUST-100257,30,Month-to-Month,84.8,2,Direct Debit,Yes
CUST-100258,28,Month-to-Month,41.88,3,Credit Card,Yes
CUST-100259,64,One Year,42.82,0,Direct Debit,No
CUST-100260,69,Month-to-Month,72.35,2,Bank Transfer,No
CUST-100261,61,One Year,97.06,1,Direct Debit,No
CUST-100262,48,Month-to-Month,57.95,2,Credit Card,No
CUST-100263,19,Two Year,79.02,2,Credit Card,No
CUST-100264,4,Two Year,86.47,3,Bank Transfer,No
CUST-100265,35,Month-to-Month,81.29,0,Credit Card,Yes
CUST-100266,64,Month-to-Month,58.78,1,Bank Transfer,Yes
CUST-100267,49,Month-to-Month,43.18,1,Direct Debit,Yes
CUST-100268,17,Month-to-Month,20.85,1,Direct Debit,No
CUST-100269,44,Month-to-Month,59.74,3,Direct Debit,Yes
CUST-100270,30,One Year,88.56,1,Credit Card,No
CUST-100271,46,Month-to-Month,42.52,0,Direct Debit,Yes
CUST-100272,6,Two Year,79.0,4,Direct Debit,No
CUST-100273,37,Month-to-Month,46.0,3,Credit Card,Yes
CUST-100274,24,One Year,67.12,1,Credit Card,No
CUST-100275,46,Month-to-Month,79.16,1,Credit Card,Yes
CUST-100276,53,Month-to-Month,51.81,1,Direct Debit,No
CUST-100277,60,Month-to-Month,68.41,2,Bank Transfer,No
CUST-100278,63,Month-to-Month,56.7,1,Credit Card,No
CUST-100279,32,Month-to-Month,79.1,2,Direct Debit,Yes
CUST-100280,33,One Year,69.71,1,Credit Card,No
CUST-100281,67,Two Year,66.13,1,Direct Debit,No
CUST-100282,18,Month-to-Month,96.17,1,Credit Card,Yes
CUST-100283,25,Month-to-Month,78.25,6,Direct Debit,No
CUST-100284,54,Month-to-Month,51.19,2,Bank Transfer,No
CUST-100285,58,Month-to-Month,63.28,0,Bank Transfer,Yes
CUST-100286,67,Month-to-Month,63.48,1,Direct Debit,Yes
CUST-100287,46,One Year,66.61,1,Direct Debit,No
CUST-100288,24,Two Year,115.49,5,Direct Debit,No
CUST-100289,32,Two Year,72.42,1,Credit Card,No
CUST-100290,47,Month-to-Month,24.28,1,Direct Debit,Yes
CUST-100291,23,Two Year,54.14,3,Bank Transfer,No
CUST-100292,66,One Year,26.35,2,Direct Debit,No
CUST-100293,27,Month-to-Month,58.4,5,Credit Card,Yes
CUST-100294,2,Month-to-Month,25.25,1,Direct Debit,Yes
CUST-100295,17,Two Year,47.57,0,Bank Transfer,No
CUST-100296,33,Month-to-Month,34.59,3,Direct Debit,Yes
CUST-100297,9,Month-to-Month,72.68,2,Credit Card,Yes
CUST-100298,43,Month-to-Month,65.01,2,Credit Card,Yes
CUST-100299,48,One Year,71.06,1,Credit Card,No
CUST-100300,39,Month-to-Month,62.91,3,Direct Debit,No
CUST-100301,42,Two Year,37.11,1,Direct Debit,No
CUST-100302,26,One Year,75.27,0,Credit Card,No
CUST-100303,50,One Year,103.44,1,Bank Transfer,No
CUST-100304,25,Month-to-Month,73.18,2,Direct Debit,No
CUST-100305,24,One Year,56.48,1,Direct Debit,No
CUST-100306,13,Month-to-Month,36.44,0,Direct Debit,Yes
CUST-100307,60,Month-to-Month,46.84,2,Credit Card,No
CUST-100308,7,Month-to-Month,74.06,2,Credit Card,Yes
CUST-100309,57,Month-to-Month,86.46,3,Credit Card,Yes
CUST-100310,36,One Year,70.22,2,Direct Debit,No
CUST-100311,45,Month-to-Month,81.0,0,Direct Debit,Yes
CUST-100312,20,Month-to-Month,79.15,0,Credit Card,No
CUST-100313,65,Month-to-Month,75.13,0,Direct Debit,No
CUST-100314,8,Two Year,51.83,1,Direct Debit,No
CUST-100315,16,One Year,68.48,2,Credit Card,No
CUST-100316,14,One Year,48.03,2,Direct Debit,No
CUST-100317,15,Month-to-Month,65.35,2,Bank Transfer,No
CUST-100318,66,Month-to-Month,71.62,0,Direct Debit,Yes
CUST-100319,32,Two Year,98.58,1,Direct Debit,No
CUST-100320,63,Month-to-Month,38.81,1,Direct Debit,No
CUST-100321,51,Month-to-Month,74.63,1,Credit Card,Yes
CUST-100322,25,One Year,94.62,2,Credit Card,No
CUST-100323,58,Month-to-Month,80.18,1,Credit Card,No
CUST-100324,63,Two Year,81.66,1,Direct Debit,No
CUST-100325,62,Month-to-Month,76.75,2,Direct Debit,Yes
CUST-100326,22,Month-to-Month,90.97,1,Direct Debit,No
CUST-100327,58,Month-to-Month,43.25,0,Bank Transfer,No
CUST-100328,58,Month-to-Month,37.28,2,Direct Debit,No
CUST-100329,49,Two Year,64.87,2,Credit Card,No
CUST-100330,52,One Year,21.78,4,Bank Transfer,No
CUST-100331,42,Month-to-Month,89.61,4,Direct Debit,No
CUST-100332,70,Month-to-Month,89.41,2,Credit Card,Yes
CUST-100333,15,One Year,56.33,1,Direct Debit,No
CUST-100334,54,One Year,57.58,3,Direct Debit,No
CUST-100335,60,Month-to-Month,63.55,0,Direct Debit,Yes
CUST-100336,8,Month-to-Month,66.04,2,Bank Transfer,No
CUST-100337,53,Month-to-Month,67.54,0,Direct Debit,No
CUST-100338,60,One Year,76.16,2,Direct Debit,No
CUST-100339,5,Two Year,61.55,2,Direct Debit,No
CUST-100340,68,Month-to-Month,83.86,3,Direct Debit,No
CUST-100341,6,One Year,73.92,2,Bank Transfer,Yes
CUST-100342,47,Month-to-Month,52.86,2,Direct Debit,Yes
CUST-100343,55,Month-to-Month,91.7,1,Bank Transfer,No
CUST-100344,40,Month-to-Month,37.83,0,Bank Transfer,No
CUST-100345,52,Two Year,63.16,0,Bank Transfer,No
CUST-100346,16,Month-to-Month,84.34,1,Direct Debit,No
CUST-100347,13,Month-to-Month,50.54,4,Direct Debit,No
CUST-100348,30,Month-to-Month,71.19,0,Credit Card,No
CUST-100349,19,Month-to-Month,75.87,0,Direct Debit,Yes
CUST-100350,17,Month-to-Month,47.79,0,Credit Card,No
CUST-100351,63,One Year,63.55,1,Direct Debit,No
CUST-100352,19,Month-to-Month,61.87,1,Bank Transfer,No
CUST-100353,58,One Year,53.97,1,Direct Debit,No
CUST-100354,55,Month-to-Month,111.03,1,Direct Debit,Yes
CUST-100355,62,Month-to-Month,49.74,0,Credit Card,No
CUST-100356,23,Month-to-Month,85.1,1,Direct Debit,No
CUST-100357,9,Month-to-Month,57.14,2,Direct Debit,No
CUST-100358,12,Month-to-Month,43.27,2,Direct Debit,No
CUST-100359,1,Month-to-Month,67.06,0,Direct Debit,Yes
CUST-100360,58,One Year,77.98,2,Direct Debit,No
CUST-100361,1,One Year,83.41,1,Direct Debit,Yes
CUST-100362,34,Month-to-Month,96.25,1,Direct Debit,Yes
CUST-100363,48,Month-to-Month,123.9,2,Direct Debit,No
CUST-100364,1,Month-to-Month,70.01,0,Direct Debit,Yes
CUST-100365,16,Month-to-Month,51.74,1,Credit Card,No
CUST-100366,61,Month-to-Month,74.06,1,Direct Debit,No
CUST-100367,64,Two Year,59.68,2,Direct Debit,No
CUST-100368,63,Month-to-Month,83.52,0,Bank Transfer,No
CUST-100369,69,Month-to-Month,39.06,0,Credit Card,Yes
CUST-100370,22,Month-to-Month,112.37,0,Direct Debit,No
CUST-100371,67,Month-to-Month,82.12,1,Bank Transfer,No
CUST-100372,26,One Year,31.32,3,Credit Card,No
CUST-100373,16,Month-to-Month,50.82,2,Direct Debit,No
CUST-100374,51,Month-to-Month,81.32,2,Bank Transfer,Yes
CUST-100375,57,One Year,88.53,1,Direct Debit,Yes
CUST-100376,29,Month-to-Month,39.56,0,Bank Transfer,No
CUST-100377,69,One Year,79.26,0,Direct Debit,No
CUST-100378,47,One Year,26.05,0,Direct Debit,No
CUST-100379,62,Month-to-Month,63.21,2,Credit Card,No
CUST-100380,69,One Year,87.24,1,Direct Debit,Yes
CUST-100381,16,Month-to-Month,53.97,3,Direct Debit,No
CUST-100382,48,Month-to-Month,34.86,1,Credit Card,No
CUST-100383,39,Month-to-Month,67.92,1,Direct Debit,No
CUST-100384,33,Month-to-Month,52.91,1,Bank Transfer,No
CUST-100385,23,One Year,77.59,3,Direct Debit,Yes
CUST-100386,10,Two Year,47.29,2,Bank Transfer,No
CUST-100387,69,Two Year,49.55,4,Direct Debit,Yes
CUST-100388,34,One Year,24.58,1,Credit Card,No
CUST-100389,52,Month-to-Month,68.4,2,Direct Debit,Yes
CUST-100390,10,Month-to-Month,61.78,3,Credit Card,Yes
CUST-100391,19,Month-to-Month,41.23,3,Direct Debit,No
CUST-100392,58,Month-to-Month,68.88,0,Direct Debit,No
CUST-100393,1,Month-to-Month,85.54,2,Direct Debit,Yes
CUST-100394,69,Two Year,60.69,1,Direct Debit,No
CUST-100395,4,Month-to-Month,70.36,2,Direct Debit,No
CUST-100396,16,Month-to-Month,70.47,2,Credit Card,No
CUST-100397,24,Month-to-Month,40.91,0,Direct Debit,No
CUST-100398,2,Two Year,106.13,3,Direct Debit,No
CUST-100399,32,One Year,55.58,6,Bank Transfer,No
CUST-100400,24,One Year,78.12,1,Credit Card,No
CUST-100401,12,Month-to-Month,80.38,2,Bank Transfer,Yes
CUST-100402,50,Two Year,62.21,0,Bank Transfer,No
CUST-100403,35,Month-to-Month,77.14,1,Direct Debit,No
CUST-100404,33,Two Year,69.92,3,Bank Transfer,No
CUST-100405,33,Month-to-Month,36.65,1,Direct Debit,No
CUST-100406,61,Month-to-Month,58.35,3,Bank Transfer,No
CUST-100407,51,Month-to-Month,52.75,2,Credit Card,No
CUST-100408,43,One Year,55.77,2,Credit Card,No
CUST-100409,12,Month-to-Month,38.92,2,Credit Card,No
CUST-100410,67,Two Year,87.53,1,Bank Transfer,No
CUST-100411,65,Month-to-Month,97.04,1,Credit Card,Yes
CUST-100412,33,Month-to-Month,84.56,0,Direct Debit,No
CUST-100413,40,Month-to-Month,90.41,1,Direct Debit,Yes
CUST-100414,43,Month-to-Month,58.11,0,Credit Card,No
CUST-100415,44,Month-to-Month,52.27,1,Direct Debit,Yes
CUST-100416,29,Month-to-Month,49.43,1,Credit Card,No
CUST-100417,13,One Year,77.88,3,Credit Card,No
CUST-100418,12,Month-to-Month,69.54,2,Direct Debit,No
CUST-100419,46,Two Year,63.46,1,Credit Card,No
CUST-100420,2,One Year,90.9,2,Credit Card,No
CUST-100421,35,Two Year,73.1,1,Bank Transfer,No
CUST-100422,8,Month-to-Month,48.23,2,Direct Debit,No
CUST-100423,26,Month-to-Month,51.38,3,Bank Transfer,No
CUST-100424,34,Month-to-Month,78.64,0,Bank Transfer,Yes
CUST-100425,7,One Year,85.83,2,Bank Transfer,No
CUST-100426,68,Two Year,76.03,1,Bank Transfer,No
CUST-100427,58,Month-to-Month,102.94,1,Credit Card,Yes
CUST-100428,29,Month-to-Month,97.7,0,Direct Debit,Yes
CUST-100429,36,Two Year,73.82,2,Credit Card,No
CUST-100430,21,Month-to-Month,48.23,1,Credit Card,No
CUST-100431,36,One Year,38.8,2,Bank Transfer,No
CUST-100432,10,Month-to-Month,57.25,3,Credit Card,Yes
CUST-100433,24,Two Year,80.06,2,Credit Card,No
CUST-100434,64,Month-to-Month,101.53,1,Credit Card,Yes
CUST-100435,49,Month-to-Month,73.35,2,Direct Debit,No
CUST-100436,36,One Year,88.37,1,Direct Debit,No
CUST-100437,24,Two Year,60.09,0,Credit Card,No
CUST-100438,23,Month-to-Month,77.46,1,Direct Debit,No
CUST-100439,62,Month-to-Month,81.47,1,Direct Debit,No
CUST-100440,37,One Year,25.41,0,Credit Card,No
CUST-100441,12,Two Year,56.73,3,Credit Card,No
CUST-100442,55,Two Year,83.99,2,Credit Card,No
CUST-100443,13,Two Year,70.49,2,Bank Transfer,No
CUST-100444,23,Month-to-Month,41.07,1,Direct Debit,No
CUST-100445,30,Month-to-Month,20.0,0,Direct Debit,No
CUST-100446,17,One Year,57.68,2,Credit Card,No
CUST-100447,62,Two Year,63.57,2,Bank Transfer,No
